Date,Rented Bike Count,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day
2017-12-01 00:00:00,254.0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 01:00:00,204.0,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 02:00:00,173.0,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 03:00:00,107.0,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 04:00:00,78.0,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 05:00:00,100.0,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 06:00:00,181.0,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 07:00:00,460.0,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 08:00:00,930.0,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 09:00:00,490.0,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 10:00:00,339.0,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 11:00:00,360.0,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 12:00:00,449.0,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 13:00:00,451.0,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 14:00:00,447.0,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 15:00:00,463.0,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 16:00:00,484.0,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 17:00:00,555.0,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 18:00:00,862.0,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 19:00:00,600.0,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 20:00:00,426.0,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 21:00:00,405.0,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 22:00:00,398.0,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01 23:00:00,323.0,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 00:00:00,328.0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 01:00:00,308.0,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 02:00:00,262.0,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 03:00:00,167.0,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 04:00:00,89.0,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 05:00:00,79.0,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 06:00:00,70.0,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 07:00:00,146.0,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 08:00:00,219.0,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 09:00:00,328.0,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 10:00:00,334.0,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 11:00:00,388.0,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 12:00:00,479.0,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 13:00:00,606.0,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 14:00:00,611.0,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 15:00:00,589.0,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 16:00:00,618.0,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 17:00:00,572.0,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 18:00:00,489.0,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 19:00:00,385.0,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 20:00:00,359.0,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 21:00:00,377.0,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 22:00:00,354.0,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02 23:00:00,366.0,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 00:00:00,342.0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 01:00:00,227.0,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 02:00:00,228.0,3.3,79,1.4,830,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 03:00:00,117.0,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,Winter,No Holiday,Yes
2017-12-03 04:00:00,76.0,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 05:00:00,32.0,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 06:00:00,13.0,3.4,86,2.5,278,1.2,0.0,1.0,0.0,Winter,No Holiday,Yes
2017-12-03 07:00:00,22.0,3.1,91,1.2,129,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 08:00:00,85.0,3.2,92,1.8,244,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 09:00:00,152.0,3.5,91,1.8,231,2.1,0.02,2.5,0.0,Winter,No Holiday,Yes
2017-12-03 10:00:00,200.0,4.4,89,2.2,257,2.7,0.24,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 11:00:00,273.0,5.1,87,1.4,321,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes
2017-12-03 12:00:00,333.0,5.8,85,1.7,349,3.4,0.43,0.0,0.0,Winter,No Holiday,Yes
