timestamp,season,holiday,casual,registered,cnt,temperature_c,humidity_percent,dew_point_c,rainfall_mm,snowfall_cm,wind_speed_ms,solar_radiation_wm2,solar_radiation_mjm2,Functioning Day,visibility_km
2011-01-01 00:00:00,1.0,0.0,3.0,13.0,16.0,1.6,94,0.8,0.0,0.0,2.45,0.0,0.0,Yes,16.0
2011-01-01 01:00:00,1.0,0.0,8.0,32.0,40.0,1.5,96,0.9,0.0,0.0,2.34,0.0,0.0,Yes,14.2
2011-01-01 02:00:00,1.0,0.0,5.0,27.0,32.0,1.2,96,0.7,0.0,0.0,2.31,0.0,0.0,Yes,13.3
2011-01-01 03:00:00,1.0,0.0,3.0,10.0,13.0,1.2,98,0.9,0.0,0.0,2.6,0.0,0.0,Yes,13.3
2011-01-01 04:00:00,1.0,0.0,0.0,1.0,1.0,1.5,98,1.2,0.0,0.0,2.62,0.0,0.0,Yes,13.3
2011-01-01 05:00:00,1.0,0.0,0.0,1.0,1.0,1.8,98,1.6,0.0,0.0,2.63,0.0,0.0,Yes,13.3
2011-01-01 06:00:00,1.0,0.0,2.0,0.0,2.0,2.6,99,2.4,0.0,0.0,2.82,0.0,0.0,Yes,13.3
2011-01-01 07:00:00,1.0,0.0,1.0,2.0,3.0,3.5,98,3.3,0.0,0.0,3.26,0.0,0.0,Yes,11.5
2011-01-01 08:00:00,1.0,0.0,1.0,7.0,8.0,4.4,98,4.0,0.0,0.0,3.68,9.0,0.0324,Yes,13.3
2011-01-01 09:00:00,1.0,0.0,8.0,6.0,14.0,6.8,95,6.1,0.0,0.0,4.05,114.0,0.4104,Yes,13.3
2011-01-01 10:00:00,1.0,0.0,12.0,24.0,36.0,9.2,91,7.8,0.0,0.0,4.05,199.0,0.7163999999999999,Yes,16.0
2011-01-01 11:00:00,1.0,0.0,26.0,30.0,56.0,11.3,86,9.0,0.0,0.0,4.18,275.0,0.99,Yes,16.0
2011-01-01 12:00:00,1.0,0.0,29.0,55.0,84.0,13.0,82,9.9,0.0,0.0,4.3,356.0,1.2816,Yes,16.0
2011-01-01 13:00:00,1.0,0.0,47.0,47.0,94.0,13.6,82,10.5,0.0,0.0,4.15,229.0,0.8244,Yes,16.0
2011-01-01 14:00:00,1.0,0.0,35.0,71.0,106.0,14.6,80,11.2,0.0,0.0,3.81,195.0,0.702,Yes,16.0
2011-01-01 15:00:00,1.0,0.0,40.0,70.0,110.0,14.4,82,11.3,0.0,0.0,4.52,121.0,0.4356,Yes,16.0
2011-01-01 16:00:00,1.0,0.0,41.0,52.0,93.0,13.8,85,11.4,0.0,0.0,4.44,46.0,0.1656,Yes,16.0
2011-01-01 17:00:00,1.0,0.0,15.0,52.0,67.0,13.2,89,11.4,0.0,0.0,3.41,9.0,0.0324,Yes,16.0
2011-01-01 18:00:00,1.0,0.0,9.0,26.0,35.0,12.8,92,11.6,0.1,0.0,4.12,0.0,0.0,Yes,14.2
2011-01-01 19:00:00,1.0,0.0,6.0,31.0,37.0,12.6,95,11.8,0.2,0.0,4.37,0.0,0.0,Yes,16.0
2011-01-01 20:00:00,1.0,0.0,11.0,25.0,36.0,12.6,96,12.0,0.6,0.0,4.62,0.0,0.0,Yes,16.0
2011-01-01 21:00:00,1.0,0.0,3.0,31.0,34.0,12.8,96,12.2,1.3,0.0,4.92,0.0,0.0,Yes,14.2
2011-01-01 22:00:00,1.0,0.0,11.0,17.0,28.0,13.0,97,12.5,0.3,0.0,4.84,0.0,0.0,Yes,10.6
2011-01-01 23:00:00,1.0,0.0,15.0,24.0,39.0,13.2,97,12.7,0.2,0.0,4.38,0.0,0.0,Yes,11.5
2011-01-02 00:00:00,1.0,0.0,4.0,13.0,17.0,13.3,97,12.9,0.2,0.0,4.03,0.0,0.0,Yes,16.0
2011-01-02 01:00:00,1.0,0.0,1.0,16.0,17.0,13.3,97,12.9,0.0,0.0,3.9,0.0,0.0,Yes,13.3
2011-01-02 02:00:00,1.0,0.0,1.0,8.0,9.0,13.7,97,13.3,0.0,0.0,3.85,0.0,0.0,Yes,6.8
2011-01-02 03:00:00,1.0,0.0,2.0,4.0,6.0,13.7,97,13.3,0.1,0.0,3.64,0.0,0.0,Yes,13.3
2011-01-02 04:00:00,1.0,0.0,2.0,1.0,3.0,13.7,98,13.3,0.4,0.0,2.88,0.0,0.0,Yes,14.2
2011-01-02 05:00:00,1.0,0.0,,,1.0,13.1,97,12.7,1.2,0.0,3.16,0.0,0.0,No,16.0
2011-01-02 06:00:00,1.0,0.0,0.0,2.0,2.0,10.3,92,9.0,0.0,0.0,3.64,0.0,0.0,Yes,16.0
2011-01-02 07:00:00,1.0,0.0,0.0,1.0,1.0,8.0,85,5.6,0.0,0.0,3.54,0.0,0.0,Yes,16.0
2011-01-02 08:00:00,1.0,0.0,0.0,8.0,8.0,7.6,81,4.6,0.0,0.0,3.19,2.0,0.0072,Yes,16.0
2011-01-02 09:00:00,1.0,0.0,1.0,19.0,20.0,7.4,75,3.3,0.0,0.0,2.95,19.0,0.0684,Yes,16.0
2011-01-02 10:00:00,1.0,0.0,7.0,46.0,53.0,7.2,71,2.3,0.0,0.0,2.25,42.0,0.1512,Yes,16.0
2011-01-02 11:00:00,1.0,0.0,16.0,54.0,70.0,7.0,67,1.2,0.0,0.0,1.93,53.0,0.1908,Yes,16.0
2011-01-02 12:00:00,1.0,0.0,20.0,73.0,93.0,6.7,64,0.3,0.0,0.0,1.84,64.0,0.2304,Yes,16.0
2011-01-02 13:00:00,1.0,0.0,11.0,64.0,75.0,6.2,64,-0.2,0.2,0.0,2.28,59.0,0.2124,Yes,15.9
2011-01-02 14:00:00,1.0,0.0,4.0,55.0,59.0,8.5,77,4.7,0.0,0.0,2.73,42.0,0.1512,Yes,13.8
2011-01-02 15:00:00,1.0,0.0,19.0,55.0,74.0,7.9,76,3.9,0.2,0.0,2.97,26.0,0.0936,Yes,13.7
2011-01-02 16:00:00,1.0,0.0,9.0,67.0,76.0,7.0,77,3.3,0.4,0.0,3.11,27.0,0.0972,Yes,16.0
2011-01-02 17:00:00,1.0,0.0,7.0,58.0,65.0,6.3,77,2.7,0.1,0.0,3.55,12.0,0.0432,Yes,16.0
2011-01-02 18:00:00,1.0,0.0,10.0,43.0,53.0,5.8,72,1.1,0.0,0.0,3.76,0.0,0.0,Yes,16.0
2011-01-02 19:00:00,1.0,0.0,1.0,29.0,30.0,5.2,56,-2.9,0.0,0.0,4.84,0.0,0.0,Yes,16.0
2011-01-02 20:00:00,1.0,0.0,5.0,17.0,22.0,4.1,40,-8.2,0.0,0.0,5.25,0.0,0.0,Yes,16.0
2011-01-02 21:00:00,1.0,0.0,11.0,20.0,31.0,3.0,35,-11.0,0.0,0.0,5.1,0.0,0.0,Yes,16.0
2011-01-02 22:00:00,1.0,0.0,0.0,9.0,9.0,1.7,36,-11.9,0.0,0.0,4.74,0.0,0.0,Yes,16.0
2011-01-02 23:00:00,1.0,0.0,0.0,8.0,8.0,0.8,36,-12.5,0.0,0.0,4.69,0.0,0.0,Yes,16.0
2011-01-03 00:00:00,1.0,0.0,0.0,5.0,5.0,0.0,36,-13.2,0.0,0.0,4.62,0.0,0.0,Yes,16.0
2011-01-03 01:00:00,1.0,0.0,0.0,2.0,2.0,-0.6,36,-13.8,0.0,0.0,4.64,0.0,0.0,Yes,16.0
2011-01-03 02:00:00,1.0,0.0,,,9.0,-0.7,40,-12.8,0.0,0.0,4.78,0.0,0.0,No,16.0
2011-01-03 03:00:00,1.0,0.0,,,6.0,-1.1,38,-13.5,0.0,0.0,4.84,0.0,0.0,No,16.0
2011-01-03 04:00:00,1.0,0.0,0.0,1.0,1.0,-1.5,38,-14.1,0.0,0.0,4.68,0.0,0.0,Yes,16.0
2011-01-03 05:00:00,1.0,0.0,0.0,3.0,3.0,-1.7,37,-14.4,0.0,0.0,4.69,0.0,0.0,Yes,16.0
2011-01-03 06:00:00,1.0,0.0,0.0,30.0,30.0,-1.9,38,-14.5,0.0,0.0,4.46,0.0,0.0,Yes,16.0
2011-01-03 07:00:00,1.0,0.0,1.0,63.0,64.0,-2.1,38,-14.4,0.0,0.0,4.05,0.0,0.0,Yes,16.0
2011-01-03 08:00:00,1.0,0.0,1.0,153.0,154.0,-2.1,43,-13.0,0.0,0.0,3.56,11.0,0.0395999999999999,Yes,16.0
2011-01-03 09:00:00,1.0,0.0,7.0,81.0,88.0,-1.1,41,-12.8,0.0,0.0,3.83,132.0,0.4752,Yes,16.0
2011-01-03 10:00:00,1.0,0.0,11.0,33.0,44.0,0.1,38,-12.6,0.0,0.0,3.89,286.0,1.0296,Yes,16.0
2011-01-03 11:00:00,1.0,0.0,10.0,41.0,51.0,1.2,37,-12.1,0.0,0.0,3.76,408.0,1.4688,Yes,16.0
