model,weather_scenario,baseline,n_tasks,win_rate,win_rate_ci_lower,win_rate_ci_upper,skill_score,skill_score_ci_lower,skill_score_ci_upper
ARIMA,clean_only,Seasonal_Naive,12,0.0,0.0,0.0,-0.8812660894051576,-1.1399199010098826,-0.6805819485113429
NeuralProphet,clean_only,Seasonal_Naive,12,0.0,0.0,0.0,-0.6407588781840432,-0.9741896915484098,-0.3764739444016484
NeuralProphet,degraded,Seasonal_Naive,12,0.0,0.0,0.0,-1.4603070243706737,-2.1857535463413877,-0.8527299299192002
NeuralProphet_NoWeather,clean_only,Seasonal_Naive,12,0.0,0.0,0.0,-0.6205749344799227,-0.9724830171481368,-0.34688905311722606
NeuralProphet_NoWeather_Untuned,clean_only,Seasonal_Naive,12,0.0,0.0,0.0,-0.6387657543877809,-0.9909158032786834,-0.367696746564647
NeuralProphet_Untuned,clean_only,Seasonal_Naive,12,0.0,0.0,0.0,-1.2259707189146396,-2.24315147502136,-0.6163473550242814
NeuralProphet_Untuned,degraded,Seasonal_Naive,12,0.0,0.0,0.0,-2.0742771218548857,-3.1158175338554392,-1.2706846674187329
Prophet,clean_only,Seasonal_Naive,12,0.08333333333333333,0.0,0.25,-0.17333422746792215,-0.237637750390744,-0.11231603030572508
Prophet_Untuned,clean_only,Seasonal_Naive,12,0.0,0.0,0.0,-0.30771990333369126,-0.43700808703570293,-0.21379382221997664
SARIMAX,clean_only,Seasonal_Naive,12,0.25,0.0,0.5,-0.23708562458770088,-0.4287564216363386,-0.09218305798203906
SARIMAX,degraded,Seasonal_Naive,12,0.08333333333333333,0.0,0.25,-0.8310982463398142,-1.3031205451504577,-0.4403688646934273
TabPFN,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.44204102350747076,0.4036380195367494,0.47469090569779926
TabPFN,degraded,Seasonal_Naive,12,1.0,1.0,1.0,0.29849449533046435,0.21965286292997796,0.3610088067339392
TabPFN-TS-3,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.3429504224118358,0.31064264602808794,0.3698806041066949
TabPFN-TS-3,degraded,Seasonal_Naive,12,0.75,0.5,1.0,0.11999458009871877,0.049286364215693934,0.18096985368177299
TabPFN-TS-3_NoWeather,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.19056295180902383,0.13464633924146277,0.23626210305464776
TabPFN_NoWeather,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.318492699458645,0.23816481967839875,0.37899741683057747
TabPFN_NoWeather_v3,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.19056295180902383,0.13464633924146277,0.23626210305464776
TabPFN_v3,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.3429504224118358,0.31064264602808794,0.3698806041066949
TabPFN_v3,degraded,Seasonal_Naive,12,0.75,0.5,1.0,0.11999458009871877,0.049286364215693934,0.18096985368177299
TimesFM,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.2115917521871764,0.15668521109559266,0.2637266973752802
TimesFM,degraded,Seasonal_Naive,12,0.0,0.0,0.0,-0.6177067749741134,-1.0982614366991754,-0.2472676820841691
TimesFM_NoWeather,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.4429519087680759,0.3721046295627628,0.49316738789174697
XGBoost,clean_only,Seasonal_Naive,12,1.0,1.0,1.0,0.36164640845839946,0.2996839673985084,0.41173414573629447
XGBoost,degraded,Seasonal_Naive,12,1.0,1.0,1.0,0.3225086151477602,0.25082729056080943,0.3785637001227467
