dataset,run_name,version,timestamp,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MASE_mean,MASE_std,sMAPE_mean,sMAPE_std,total_test_imputed,total_train_imputed,folds_with_imputed_test
seoul,seoul_t5-01,t5-01,2026-03-13T20:34:27.781430,Seasonal_Naive,6,clean_only,False,42,0,2,75.83333333333333,11.31370849898476,89.51668425950629,3.9403652581605937,0.4687888125724571,0.0446121312610356,9.123453953129545,3.087531293589681,0,10,0
seoul,seoul_t5-01,t5-01,2026-03-13T20:34:29.590033,ARIMA,6,clean_only,False,42,0,2,135.33891614763013,5.873813897834975,174.7132619054401,7.704170229408756,0.8410439472262021,0.0821689688477282,16.018716989784583,0.9110515595472848,0,10,0
seoul,seoul_t5-01,t5-01,2026-03-13T20:35:14.933601,SARIMAX,6,clean_only,True,42,8,2,128.98683420099596,45.59982811925448,138.68093727373534,36.69553263656616,0.8083250503874966,0.3266039431875755,16.25329732978715,3.0922528472430018,0,10,0
seoul,seoul_t5-01,t5-01,2026-03-13T20:36:44.947021,XGBoost,6,clean_only,True,42,12,2,196.4940694173177,64.21709810810744,242.3526201846213,34.0935520266634,1.2087990736841407,0.3322322114149969,24.337677751585453,13.930590373624158,0,10,0
seoul,seoul_t5-01,t5-01,2026-03-13T20:36:49.435182,TabPFN,6,clean_only,True,42,8,2,42.66508483886719,7.651440031104129,61.63442623323285,28.60962495296464,0.2661153618610939,0.061902603333022,4.404803764044774,0.1823884740079315,0,10,0
seoul,seoul_t5-01,t5-01,2026-03-13T20:36:50.309048,TabPFN_NoWeather,6,clean_only,False,42,0,2,39.74074808756511,3.0452907553817026,55.95222270784716,21.756896475445945,0.2471860786148377,0.0323244396331578,4.403055605084254,0.7769357192384918,0,10,0
seoul,seoul_t5-01,t5-01,2026-03-13T20:37:29.563682,SARIMAX,6,degraded,True,42,8,2,135.13231075066562,56.77090930311715,146.44788757953268,47.19768604584779,0.8483566654278465,0.3980187269257925,16.581402395319415,3.856518896143079,0,10,0
seoul,seoul_t5-01,t5-01,2026-03-13T20:37:37.299572,XGBoost,6,degraded,True,42,12,2,196.4940694173177,64.21709810810744,242.3526201846213,34.0935520266634,1.2087990736841407,0.3322322114149969,24.337677751585453,13.930590373624158,0,10,0
seoul,seoul_t5-01,t5-01,2026-03-13T20:37:38.325877,TabPFN,6,degraded,True,42,8,2,38.650634765625,14.936134595639476,54.487926054700935,33.729620063987994,0.2424277553890973,0.1057630228557527,4.088863298542008,0.6301505607014186,0,10,0
washington,washington_t5-01,t5-01,2026-03-13T20:37:44.060543,Seasonal_Naive,6,clean_only,False,42,0,2,50.41666666666666,46.55119642811437,59.03230772005461,51.54163324106282,1.0329473754784575,0.960302644237934,34.26371403307876,12.334391732132138,0,4,0
