dataset,run_name,timestamp,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MASE_mean,MASE_std,sMAPE_mean,sMAPE_std,total_test_imputed,total_train_imputed,folds_with_imputed_test
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:29.210451,Seasonal_Naive,6,clean_only,False,42,0,20,506.425,625.0716274160784,572.5823263210725,641.3624379053359,2.710295452924938,3.3415465383767846,61.1347144551372,65.78750948135722,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.246226,Seasonal_Naive,24,clean_only,False,42,0,20,318.68125000000003,230.08559432407003,471.8931764658999,314.05034168178423,1.6703664718302953,1.2418724871322313,32.54905526233644,28.95304408437218,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.449253,Seasonal_Naive,48,clean_only,False,42,0,20,381.6989583333334,158.16987962990927,569.945110007874,203.88004329974956,1.9061878040033449,0.7943978165379538,37.07344468765645,20.418867083377783,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:30.637133,Seasonal_Naive,168,clean_only,False,42,0,20,381.07410714285714,147.694175333925,562.6638908318572,175.73771949780553,1.7293233845047251,0.6952594463185289,44.5555793230012,23.93102151972145,151,1097,3
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:40.380283,ARIMA,6,clean_only,False,42,0,20,593.0212766778451,305.16825249571883,684.7454506161856,334.9737138463854,3.1580285306110385,1.6152567899091883,80.1988626658281,52.0210139959129,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:50.298465,ARIMA,24,clean_only,False,42,0,20,732.2578580401162,124.2643434486952,867.0065046217118,137.44874594295302,3.813141252248768,0.6894112969630553,61.46253432816583,17.989069312641778,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:00:59.685619,ARIMA,48,clean_only,False,42,0,20,804.6963170058881,210.6292664166881,944.4346676825904,231.1083833690502,4.025719151396052,1.050594760414278,65.69047672955716,20.713421464355847,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:01:11.238245,ARIMA,168,clean_only,False,42,0,20,783.1772877035318,258.0392495934823,930.4067894543532,284.65250249248163,3.583530292822027,1.3544457899490494,75.21979531197961,32.15476252456322,151,1097,3
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:13:33.739637,SARIMAX,6,clean_only,True,42,7,20,283.4482684014812,219.45539335553855,321.9719177089435,230.8752097735438,1.5173321289356303,1.1829151253330383,43.155474216520346,53.479621411875094,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:26:10.299795,SARIMAX,24,clean_only,True,42,7,20,284.67694320611884,70.70514864255081,368.14341762430456,78.85203074313667,1.4831947907883456,0.3868209775007828,28.960834444764192,15.66992364368337,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:38:55.160904,SARIMAX,48,clean_only,True,42,7,20,320.15918083654856,92.66620022833736,426.76167337574344,126.83948657549064,1.6003303489486704,0.4460075059471713,31.88701178363123,16.070076595994305,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:51:38.672981,SARIMAX,168,clean_only,True,42,7,20,329.01082024924546,73.30211211430185,426.9770390235073,96.94617298409683,1.4839274104669584,0.338994490187452,40.95580628662268,14.882297604670054,151,1097,3
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:51:44.505238,XGBoost,6,clean_only,True,42,7,20,538.1201374053956,219.25761150328952,613.8303252733288,220.25166453023755,2.869979819754769,1.1856944342597977,66.45752773460994,41.71619320199901,0,960,0
SeoulBikeData,seoul_bike_baseline_v3,2026-01-04T21:51:51.094771,XGBoost,24,clean_only,True,42,7,20,634.2700000445047,82.40306263916547,767.9537665005959,97.8174355557021,3.295961565501815,0.4106372726888217,57.77773511927425,12.227717387354524,0,960,0
