dataset,run_name,version,timestamp,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MASE_mean,MASE_std,sMAPE_mean,sMAPE_std,total_test_imputed,total_train_imputed,folds_with_imputed_test
seoul,seoul_v6,v6,2026-05-16T13:24:39.977198,Seasonal_Naive,6,clean_only,False,42,0,980,300.3319727891157,358.650602825067,346.8296362625619,388.175487022306,1.0375163666370992,1.2139469964129592,41.53944584573126,48.46940988939448,295,33780,50
seoul,seoul_v6,v6,2026-05-16T13:24:42.147946,Seasonal_Naive,24,clean_only,False,42,0,245,300.33197278911564,257.0795753369072,402.9108510798114,330.03740188023494,1.0466801516376996,0.8948224797482844,41.53944584573126,40.45247944761257,295,8418,13
seoul,seoul_v6,v6,2026-05-16T13:24:42.492408,Seasonal_Naive,48,clean_only,False,42,0,122,356.9275956284153,228.723131206212,496.6387913264505,285.0749800243592,1.2568339956809196,0.8272604718078457,47.509627491144734,38.28222564029628,295,4161,13
seoul,seoul_v6,v6,2026-05-16T13:24:42.745414,Seasonal_Naive,168,clean_only,False,42,0,35,340.39421768707484,185.47210882800272,508.251675065988,222.2547276599312,1.2303961906077217,0.7617189372234675,47.5838315168461,33.76776455465292,295,1180,7
seoul,seoul_v6,v6,2026-05-16T13:27:23.166700,ARIMA,6,clean_only,False,42,0,980,434.5389899507495,220.7579756191913,510.0020718926877,238.24565339320043,1.5149959037529923,0.8033918952197927,57.73222631264883,38.377331261526976,295,33780,50
seoul,seoul_v6,v6,2026-05-16T13:28:02.841766,ARIMA,24,clean_only,False,42,0,245,524.5421161763921,153.76990489620388,637.1460987030215,176.1414456179836,1.8281201358024863,0.6008005895436542,62.50271495081765,25.90781281933725,295,8418,13
seoul,seoul_v6,v6,2026-05-16T13:28:22.789015,ARIMA,48,clean_only,False,42,0,122,542.7935061760186,138.22187715306853,658.2785873252295,154.25585728120524,1.8985126010424704,0.5767013834543907,64.31092337952576,24.89522561634044,295,4161,13
seoul,seoul_v6,v6,2026-05-16T13:28:28.401211,ARIMA,168,clean_only,False,42,0,35,552.1312452630119,118.0874565803043,665.6114591727595,129.7155270739336,1.94103351566854,0.4741908979194362,63.69055117025741,13.67928085708948,295,1180,7
seoul,seoul_v6,v6,2026-05-16T16:19:06.110050,SARIMAX,6,clean_only,True,42,9,980,266.2282269399513,181.59015930173345,311.83686589085016,208.0177642696069,0.9156677606206832,0.6458481869028654,42.82893565811207,42.294207861537416,295,33780,50
seoul,seoul_v6,v6,2026-05-16T17:07:43.867417,SARIMAX,24,clean_only,True,42,9,245,381.9490410878133,253.55144599441547,466.63825769361137,292.7555096178289,1.3138305914240287,0.8542649336951382,55.22104130280224,47.1222210612022,295,8418,13
seoul,seoul_v6,v6,2026-05-16T17:27:52.741080,SARIMAX,48,clean_only,True,42,9,122,452.3885550204391,259.08944139172416,557.434162683624,286.16882440853306,1.586671627112796,1.004971022597263,60.47964508090357,41.32297647400532,295,4161,13
seoul,seoul_v6,v6,2026-05-16T17:34:14.039492,SARIMAX,168,clean_only,True,42,9,35,720.1458509976121,534.6613166248047,835.6530024124871,557.1729057900321,2.529439406165217,1.9624641201216928,75.11443965871838,40.25584958255023,295,1180,7
seoul,seoul_v6,v6,2026-05-16T17:43:48.945389,XGBoost,6,clean_only,True,42,13,980,188.2413204316582,164.67184746590826,225.7520608284701,189.7660447659824,0.6634164519193133,0.6233960560154429,28.137205584129333,32.53018122598887,295,33780,50
seoul,seoul_v6,v6,2026-05-16T17:46:24.189084,XGBoost,24,clean_only,True,42,13,245,238.6127017752654,143.8999822433533,329.3364556915934,184.7476512617696,0.8452328292710614,0.57374407211728,32.41796511084591,30.33472951600596,295,8418,13
seoul,seoul_v6,v6,2026-05-16T17:47:48.213404,XGBoost,48,clean_only,True,42,13,122,263.0219102140333,132.40253779366265,370.0617088888133,167.6429346528689,0.939142858255214,0.5584936480131883,34.713612386668586,27.38575287708009,295,4161,13
seoul,seoul_v6,v6,2026-05-16T17:48:21.314720,XGBoost,168,clean_only,True,42,13,35,282.323726504514,129.2706742960033,404.6863141459232,149.28213806574576,1.0440691727699056,0.7261819949987833,36.43149600400894,17.447436244338373,295,1180,7
seoul,seoul_v6,v6,2026-05-16T17:50:34.094583,Prophet_Untuned,6,clean_only,False,42,0,980,364.3745193133013,288.1372999799823,413.02266864101887,300.1892946738798,1.2516417856481463,0.9822066308789942,52.13980395811139,44.54935762701632,295,33780,50
seoul,seoul_v6,v6,2026-05-16T17:51:07.156138,Prophet_Untuned,24,clean_only,False,42,0,245,376.89195332220135,228.98542162182687,469.1352945665748,254.23248023086964,1.3123482801609874,0.8038892009720943,53.105177576055965,36.71950700980383,295,8418,13
seoul,seoul_v6,v6,2026-05-16T17:51:23.178801,Prophet_Untuned,48,clean_only,False,42,0,122,422.6636258284216,228.99638713468272,527.7804344949001,256.75546391956243,1.4799140154598234,0.8373743407852485,58.47706903602444,35.79314642150801,295,4161,13
seoul,seoul_v6,v6,2026-05-16T17:51:29.039660,Prophet_Untuned,168,clean_only,False,42,0,35,678.190963463542,437.2647258445557,820.2154621090348,483.321240333387,2.398091919152841,1.7417767198645588,79.22006066906988,41.59703353082124,295,1180,7
seoul,seoul_v6,v6,2026-05-16T20:02:29.936726,NeuralProphet_Untuned,6,clean_only,True,42,9,980,1264.7018508805506,14322.965148749545,1591.4746049747878,20642.910620050166,4.117361587713262,41.02056326681658,80.46515483815824,39.284409873272025,295,33780,50
seoul,seoul_v6,v6,2026-05-16T20:36:00.302701,NeuralProphet_Untuned,24,clean_only,True,42,9,245,4928.466943401544,68943.04781076786,5967.820450226269,82885.14954274753,13.33077900230249,182.02131307023564,55.82773027242517,33.4727152885149,295,8418,13
seoul,seoul_v6,v6,2026-05-16T20:52:41.723337,NeuralProphet_Untuned,48,clean_only,True,42,9,122,599.1317290100244,1294.0302544633728,841.9081880958901,2085.225207854763,1.9785456622668056,3.3742677787574027,60.88178548858274,30.526578029351217,295,4161,13
seoul,seoul_v6,v6,2026-05-16T20:57:33.272549,NeuralProphet_Untuned,168,clean_only,True,42,9,35,458.7573471065889,249.6272803370659,621.6199194250705,365.0638073093339,1.6264967535634658,0.95400001595214,59.24581034736404,21.840969674941288,295,1180,7
seoul,seoul_v6,v6,2026-05-16T22:58:54.394126,NeuralProphet_NoWeather_Untuned,6,clean_only,False,42,0,980,692.1710978733033,322.17933864352744,773.346942474576,337.68002187742565,2.4180460944592768,1.216639397706706,82.51636628660371,37.45898252726423,295,33780,50
seoul,seoul_v6,v6,2026-05-16T23:29:18.955544,NeuralProphet_NoWeather_Untuned,24,clean_only,False,42,0,245,391.333670786976,202.27731471048813,503.8334026018969,255.24377321025028,1.372463691642667,0.7337085783309595,55.20733264991225,33.795425644457985,295,8418,13
seoul,seoul_v6,v6,2026-05-16T23:44:25.559572,NeuralProphet_NoWeather_Untuned,48,clean_only,False,42,0,122,447.55220378499706,185.8149028799372,583.1211886789845,230.536869467546,1.5726328911017018,0.6886208326777544,59.82904003236374,30.508593727151386,295,4161,13
seoul,seoul_v6,v6,2026-05-16T23:48:46.330292,NeuralProphet_NoWeather_Untuned,168,clean_only,False,42,0,35,422.3039046507303,132.04025666188596,577.1524669703413,184.8082407702804,1.4924109101374154,0.5121160198557936,56.97289399505129,19.787457782213792,295,1180,7
