model,Rank,MASE,MAE,RMSE,sMAPE,delta_MASE,delta_MAE,delta_RMSE,delta_sMAPE
TabPFN,1,0.622,153.065,225.937,25.944,,,,
TimesFM_NoWeather,2,0.63,159.789,226.139,28.421,0.008,6.724,0.202,2.477
XGBoost,3,0.717,176.63,253.793,28.776,0.095,23.565,27.856,2.832
TabPFN_NoWeather,4,0.771,195.496,281.265,29.851,0.149,42.431,55.328,3.907
TimesFM,5,0.878,213.462,267.527,51.134,0.256,60.397,41.59,25.19
Seasonal_Naive,6,1.106,276.778,401.74,42.754,0.484,123.713,175.803,16.81
Prophet,7,1.295,331.021,429.891,57.691,0.673,177.956,203.954,31.747
SARIMAX,8,1.431,384.194,483.125,60.016,0.809,231.129,257.188,34.072
NeuralProphet_NoWeather,9,1.871,475.381,616.99,72.379,1.249,322.316,391.053,46.435
NeuralProphet,10,1.88,471.671,610.465,73.482,1.258,318.606,384.528,47.538
ARIMA,11,2.114,563.662,719.884,77.566,1.492,410.597,493.947,51.622
