dataset,london,london,london,london,seoul,seoul,seoul,seoul,washington,washington,washington,washington
horizon,6,24,48,168,6,24,48,168,6,24,48,168
TabPFN,0.47,0.61,0.637,0.593,0.533,0.695,0.772,0.813,0.481,0.601,0.658,0.599
TimesFM_NoWeather,0.445,0.561,0.592,0.62,0.565,0.828,0.891,0.933,0.457,0.544,0.563,0.564
XGBoost,0.547,0.629,0.658,0.679,0.663,0.845,0.939,1.044,0.489,0.663,0.72,0.732
TabPFN_NoWeather,0.514,0.708,0.76,0.779,0.648,0.956,1.103,1.104,0.524,0.695,0.753,0.709
TimesFM,0.658,0.758,0.817,0.877,0.768,0.934,1.021,1.132,0.733,0.876,0.943,1.014
Seasonal_Naive,0.997,1.003,1.256,1.191,1.038,1.047,1.257,1.23,0.964,0.969,1.226,1.096
Prophet,1.364,1.395,1.425,1.461,1.177,1.22,1.294,1.413,1.154,1.204,1.225,1.212
SARIMAX,1.186,1.235,1.655,2.306,0.916,1.314,1.587,2.529,0.938,1.109,1.225,1.177
NeuralProphet_NoWeather,3.291,1.674,1.908,1.52,2.42,1.353,1.56,1.439,2.926,1.428,1.685,1.25
NeuralProphet,3.184,1.716,1.964,1.566,2.335,1.322,1.479,1.435,2.848,1.489,1.79,1.436
ARIMA,2.952,2.585,2.582,2.64,1.515,1.828,1.899,1.941,1.562,1.855,1.999,2.015
