family,dataset,horizon,n_folds,MASE_TabPFN,MASE_TabPFN_NoWeather,mean_diff,statistic,p_value,p_adjusted,significant,MASE_XGBoost,MASE_TabPFN_clean,MASE_TabPFN_degraded,MASE_XGBoost_clean,MASE_XGBoost_degraded
a_tabpfn_vs_nw_clean,london,6,980,0.4702,0.5139,-0.0437,197821.0,1.603183387510873e-06,0.0,True,,,,,
a_tabpfn_vs_nw_clean,london,24,245,0.6104,0.7083,-0.0979,9025.0,5.278807863509308e-08,0.0,True,,,,,
a_tabpfn_vs_nw_clean,london,48,122,0.6366,0.7598,-0.1232,2192.0,6.761803223534829e-05,0.0002,True,,,,,
a_tabpfn_vs_nw_clean,london,168,35,0.5932,0.7795,-0.1863,56.0,3.6471174098551273e-06,0.0,True,,,,,
a_tabpfn_vs_nw_clean,seoul,6,980,0.5328,0.6476,-0.1148,163750.0,5.518509475372136e-18,0.0,True,,,,,
a_tabpfn_vs_nw_clean,seoul,24,245,0.6946,0.9563,-0.2617,5095.0,2.686384282002227e-19,0.0,True,,,,,
a_tabpfn_vs_nw_clean,seoul,48,122,0.7717,1.1028,-0.3311,626.0,1.397975451969144e-15,0.0,True,,,,,
a_tabpfn_vs_nw_clean,seoul,168,35,0.8129,1.1044,-0.2915,35.0,2.508750185370445e-07,0.0,True,,,,,
a_tabpfn_vs_nw_clean,washington,6,980,0.4812,0.5242,-0.043,201432.0,1.1309023615913375e-05,0.0,True,,,,,
a_tabpfn_vs_nw_clean,washington,24,245,0.6011,0.6951,-0.0939,9706.0,1.3765479396786587e-06,0.0,True,,,,,
a_tabpfn_vs_nw_clean,washington,48,122,0.6577,0.7529,-0.0951,2218.0,8.925511951537981e-05,0.0002,True,,,,,
a_tabpfn_vs_nw_clean,washington,168,35,0.5994,0.7092,-0.1098,98.0,0.00019208568846806884,0.0002,True,,,,,
b_tabpfn_vs_xgb_clean,london,6,980,0.4702,,-0.0767,174988.0,1.654090236948249e-13,0.0,True,0.5469,,,,
b_tabpfn_vs_xgb_clean,london,24,245,0.6104,,-0.0183,12473.0,0.019464590217811807,0.0584,False,0.6286,,,,
b_tabpfn_vs_xgb_clean,london,48,122,0.6366,,-0.0213,3362.0,0.31965326218199486,0.3197,False,0.6578,,,,
b_tabpfn_vs_xgb_clean,london,168,35,0.5932,,-0.086,138.0,0.0030071966466493905,0.012,True,0.6792,,,,
b_tabpfn_vs_xgb_clean,seoul,6,980,0.5328,,-0.1306,155570.0,1.1215116229658947e-21,0.0,True,0.6634,,,,
b_tabpfn_vs_xgb_clean,seoul,24,245,0.6946,,-0.1507,9163.0,1.052741325464393e-07,0.0,True,0.8452,,,,
b_tabpfn_vs_xgb_clean,seoul,48,122,0.7717,,-0.1674,1932.0,3.3384914136297986e-06,0.0,True,0.9391,,,,
b_tabpfn_vs_xgb_clean,seoul,168,35,0.8129,,-0.2311,67.0,1.188291935250163e-05,0.0001,True,1.0441,,,,
b_tabpfn_vs_xgb_clean,washington,6,980,0.4812,,-0.0079,211316.0,0.0010554905300011032,0.0063,True,0.4891,,,,
b_tabpfn_vs_xgb_clean,washington,24,245,0.6011,,-0.0615,11484.0,0.001250216639535524,0.0063,True,0.6626,,,,
b_tabpfn_vs_xgb_clean,washington,48,122,0.6577,,-0.0621,2914.0,0.03237024004052198,0.0647,False,0.7198,,,,
b_tabpfn_vs_xgb_clean,washington,168,35,0.5994,,-0.1329,114.0,0.0006348491297103465,0.0044,True,0.7323,,,,
c_tabpfn_vs_xgb_degraded,london,6,980,0.5595,,-0.01,231980.0,0.3452660239531078,1.0,False,0.5695,,,,
c_tabpfn_vs_xgb_degraded,london,24,245,0.6957,,0.0426,13602.0,0.18690994335686362,1.0,False,0.6531,,,,
c_tabpfn_vs_xgb_degraded,london,48,122,0.7323,,0.0512,3031.0,0.06564000741786304,0.5251,False,0.681,,,,
c_tabpfn_vs_xgb_degraded,london,168,35,0.7075,,-0.0097,302.0,0.8397882779827341,1.0,False,0.7172,,,,
