comparison,model_a,model_b,dataset,horizon,n_folds,mean_MAE_a,mean_MAE_b,mean_diff,statistic,p_value,p_adjusted,significant
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,seoul,6,980,665.47,692.11,-26.64,156400.0,2.761213822650838e-21,0.0,True
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,seoul,24,245,375.43,386.67,-11.24,12642.0,0.028939002236179102,0.0629,False
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,seoul,48,122,417.1,445.7,-28.6,1726.0,2.277364830288145e-07,0.0,True
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,seoul,168,35,400.94,407.0,-6.05,249.0,0.28721763065550476,0.2872,False
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,london,6,980,1204.28,1247.18,-42.89,164608.0,1.2820134400030423e-17,0.0,True
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,london,24,245,644.11,630.45,13.66,11956.0,0.0050770672102888785,0.0254,True
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,london,48,122,741.83,722.51,19.32,2665.0,0.005503180112544731,0.0254,True
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,london,168,35,581.32,566.07,15.25,175.0,0.020979947759769857,0.0629,False
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,washington,6,980,236.36,243.1,-6.74,186391.0,1.1464767562066254e-09,0.0,True
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,washington,24,245,123.06,118.09,4.96,10616.0,6.101312837941813e-05,0.0004,True
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,washington,48,122,148.21,139.69,8.51,2423.0,0.0006880144327906218,0.0041,True
NeuralProphet vs NeuralProphet_NoWeather,NeuralProphet,NeuralProphet_NoWeather,washington,168,35,121.95,106.01,15.93,26.0,6.222398951649666e-08,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,seoul,6,980,151.41,185.11,-33.7,163494.0,4.283703133476299e-18,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,seoul,24,245,194.56,272.89,-78.33,5139.0,3.848156296644869e-19,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,seoul,48,122,216.12,315.66,-99.54,632.0,1.582795525402672e-15,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,seoul,168,35,222.25,313.9,-91.64,34.0,2.168235369026661e-07,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,london,6,980,176.61,193.43,-16.83,197346.0,1.2252014969667819e-06,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,london,24,245,227.11,266.21,-39.1,8962.0,3.8327523641825797e-08,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,london,48,122,237.55,284.51,-46.96,2172.0,5.445943431685636e-05,0.0002,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,london,168,35,217.89,292.41,-74.52,48.0,1.4187535271048546e-06,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,washington,6,980,39.67,43.27,-3.6,201480.0,1.1594082795670272e-05,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,washington,24,245,49.38,57.08,-7.7,9780.0,1.9194148993705317e-06,0.0,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,washington,48,122,53.66,61.58,-7.92,2242.0,0.00011489732673657971,0.0002,True
TabPFN vs TabPFN_NoWeather,TabPFN,TabPFN_NoWeather,washington,168,35,50.56,59.9,-9.34,96.0,0.00016374513506889343,0.0002,True
TabPFN vs XGBoost,TabPFN,XGBoost,seoul,6,980,151.41,188.24,-36.84,157438.0,8.416901276727787e-21,0.0,True
TabPFN vs XGBoost,TabPFN,XGBoost,seoul,24,245,194.56,238.61,-44.05,9184.0,1.1678051334765823e-07,0.0,True
TabPFN vs XGBoost,TabPFN,XGBoost,seoul,48,122,216.12,263.02,-46.9,1974.0,5.5854281750819565e-06,0.0001,True
TabPFN vs XGBoost,TabPFN,XGBoost,seoul,168,35,222.25,282.32,-60.07,71.0,1.7739308532327414e-05,0.0001,True
TabPFN vs XGBoost,TabPFN,XGBoost,london,6,980,176.61,204.6,-28.0,175249.0,2.0623352540706342e-13,0.0,True
