model,Rank,MAE,RMSE,MASE,sMAPE,delta_MAE,delta_RMSE,delta_MASE,delta_sMAPE
TimesFM_NoWeather,1,206.72,301.99,0.55,23.33,,,,
TabPFN,2,214.79,332.13,0.58,21.39,8.07,30.14,0.03,-1.94
XGBoost,3,233.26,352.45,0.63,22.51,26.54,50.46,0.08,-0.82
TabPFN_NoWeather,4,259.14,389.76,0.69,24.47,52.42,87.77,0.14,1.14
TimesFM,5,292.96,368.33,0.78,49.0,86.24,66.34,0.23,25.67
Seasonal_Naive,6,417.27,641.82,1.11,38.24,210.55,339.83,0.56,14.91
Prophet,7,528.28,705.65,1.41,61.62,321.56,403.66,0.86,38.29
SARIMAX,8,604.85,787.05,1.6,66.61,398.13,485.06,1.05,43.28
NeuralProphet_NoWeather,9,791.55,1053.32,2.1,76.17,584.83,751.33,1.55,52.84
NeuralProphet,10,792.89,1049.85,2.11,77.11,586.17,747.86,1.56,53.78
ARIMA,11,1022.76,1348.57,2.69,97.82,816.04,1046.58,2.14,74.49
