Model,Scenario,Mean_MAE,Std_MAE,CV_%
ARIMA,clean_only,1095.84,735.03,67.07
NeuralProphet,clean_only,1120.15,482.85,43.11
NeuralProphet_NoWeather,clean_only,1148.98,498.76,43.41
Prophet,clean_only,510.35,246.09,48.22
SARIMAX,clean_only,457.63,351.6,76.83
Seasonal_Naive,clean_only,372.34,398.69,107.08
TabPFN,clean_only,177.37,184.94,104.27
TabPFN_NoWeather,clean_only,196.74,206.36,104.89
TimesFM,clean_only,253.87,170.18,67.03
TimesFM_NoWeather,clean_only,167.15,170.35,101.92
XGBoost,clean_only,199.72,205.4,102.84
NeuralProphet,degraded,1148.47,472.05,41.1
SARIMAX,degraded,487.08,344.16,70.66
TabPFN,degraded,209.69,191.42,91.29
TimesFM,degraded,428.24,197.87,46.21
XGBoost,degraded,208.71,206.86,99.11
