model,Rank,MAE,RMSE,MASE,sMAPE,delta_MAE,delta_RMSE,delta_MASE,delta_sMAPE
TabPFN,1,196.09,274.49,0.7,29.04,,,,
TimesFM_NoWeather,2,228.57,312.52,0.8,31.2,32.48,38.03,0.1,2.16
XGBoost,3,243.05,332.46,0.87,32.93,46.96,57.97,0.17,3.89
TabPFN_NoWeather,4,271.89,373.16,0.95,35.53,75.8,98.67,0.25,6.49
Seasonal_Naive,5,324.5,438.66,1.14,44.54,128.41,164.17,0.44,15.5
Prophet,6,365.23,454.92,1.28,51.14,169.14,180.43,0.58,22.1
SARIMAX,7,455.18,542.89,1.59,58.41,259.09,268.4,0.89,29.37
NeuralProphet,8,464.73,582.59,1.64,60.71,268.64,308.1,0.94,31.67
NeuralProphet_NoWeather,9,482.87,604.68,1.69,62.61,286.78,330.19,0.99,33.57
ARIMA,10,513.5,617.76,1.8,62.06,317.41,343.27,1.1,33.02
