Model,Scenario,Mean_MAE,Std_MAE,CV_%
ARIMA,clean_only,558.48,86.8,15.54
NeuralProphet,clean_only,440.15,103.14,23.43
NeuralProphet_NoWeather,clean_only,445.13,105.94,23.8
Prophet,clean_only,333.5,63.69,19.1
SARIMAX,clean_only,360.41,142.82,39.63
Seasonal_Naive,clean_only,211.53,72.1,34.08
TabPFN,clean_only,129.75,47.86,36.89
TabPFN_NoWeather,clean_only,167.59,57.3,34.19
XGBoost,clean_only,139.37,29.56,21.21
NeuralProphet,degraded,458.18,105.61,23.05
SARIMAX,degraded,370.7,140.35,37.86
TabPFN,degraded,335.48,101.83,30.35
XGBoost,degraded,298.23,73.79,24.74
