Model,Scenario,Mean_MAE,Std_MAE,CV_%
ARIMA,clean_only,211.51,33.82,15.99
NeuralProphet,clean_only,172.64,36.39,21.08
NeuralProphet_NoWeather,clean_only,164.58,23.2,14.09
Prophet,clean_only,103.09,11.97,11.61
SARIMAX,clean_only,118.63,34.64,29.2
Seasonal_Naive,clean_only,82.19,30.99,37.7
TabPFN,clean_only,31.81,6.82,21.44
TabPFN_NoWeather,clean_only,41.37,9.69,23.42
XGBoost,clean_only,40.61,12.31,30.32
NeuralProphet,degraded,425.77,202.07,47.46
SARIMAX,degraded,243.74,95.39,39.13
TabPFN,degraded,48.67,11.07,22.74
XGBoost,degraded,47.8,11.69,24.46
