model,Rank,MAE,RMSE,MASE,sMAPE,delta_MAE,delta_RMSE,delta_MASE,delta_sMAPE
TimesFM_NoWeather,1,44.08,63.91,0.53,30.74,,,,
TabPFN,2,48.32,71.19,0.58,27.4,4.24,7.28,0.05,-3.34
XGBoost,3,53.58,76.47,0.65,30.89,9.5,12.56,0.12,0.15
TabPFN_NoWeather,4,55.46,80.88,0.67,29.56,11.38,16.97,0.14,-1.18
TimesFM,5,74.3,93.08,0.89,58.93,30.22,29.17,0.36,28.19
Seasonal_Naive,6,88.57,124.74,1.06,45.48,44.49,60.83,0.53,14.74
SARIMAX,7,92.55,119.43,1.11,55.02,48.47,55.52,0.58,24.28
Prophet,8,99.56,129.11,1.2,60.32,55.48,65.2,0.67,29.58
NeuralProphet_NoWeather,9,151.72,192.98,1.82,78.35,107.64,129.07,1.29,47.61
ARIMA,10,154.72,193.32,1.86,72.82,110.64,129.41,1.33,42.08
NeuralProphet,11,157.39,198.96,1.89,82.63,113.31,135.05,1.36,51.89
